Biotic (Y/N),fCO2,fCO,fH2,fCH4,fO2,fO3,fN2,fH2O,Pressure (bar),Stellar Mass,,Temp,Reference/Notes,,,
Y,2.80E-04,2.93E-07,,4.50E-06,0.21,2.00E-06,0.761,0.034,1,0.09,,,"Meadows et al. 2023; T-1d, preindustrial Earth",,,
Y,0.05,4.55E-05,,4.52E-04,0.21,3.70E-05,0.733,0.0066,1,0.09,,,"Meadows et al. 2023; T-1e, preindustrial Earth",,,
Y,0.05,4.71E-05,,4.03E-04,0.21,2.60E-05,0.734,6.00E-03,1,0.09,,,"Meadows et al. 2023; T-1e, Clx10",,,
Y,0.05,7.00E-05,,2.05E-04,0.21,1.16E-05,0.732,7.33E-03,1,0.09,,,"Meadows et al. 2023; T-1e, Clx100",,,
Y,0.05,2.43E-04,,8.86E-05,0.21,3.70E-06,0.727,1.31E-02,1,0.09,,,"Meadows et al. 2023; T-1e, Clx1000",,,
,,,,,,,,,,,,,,,,
N,2.80E-04,1.66E-09,,1.55E-07,0.2,2.30E-05,0.788,1.14E-02,1,0.09,,,Lincowski et al. 2018; aqua planet,,,
,,,,,,,,,,,,,,,,
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,4.35E-06,5.00E-02,1.00E-40,1,0.312,,200,Pidhorodeetska et al. 2021 L98 59b 1 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,2.00E-09,5.00E-02,1.00E-40,1,0.312,,558,Pidhorodeetska et al. 2021 L98 59b 1 bar O2 558K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,6.77E-06,5.00E-02,1.00E-40,10,0.312,,200,Pidhorodeetska et al. 2021 L98 59b 10 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,6.94E-09,5.00E-02,1.00E-40,10,0.312,,558,Pidhorodeetska et al. 2021 L98 59b 10 bar O2 558K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.02E-05,5.00E-02,1.00E-40,1,0.312,,200,Pidhorodeetska et al. 2021 L98 59c 1 bar O2 200K,,,only N2/O2/O3
